#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
0.5%	100	-178067.4352783815	295.2688279389301	1.021323906714126	0
1.0%	200	-177735.59920917515	294.0420949115496	1.021323906714126	17.3
1.5%	300	-177493.2092668774	297.86312614119174	1.0203554115258398	17.1
2.0%	400	-176923.340882967	294.3182781895104	1.0203554115258398	17
2.5%	500	-177133.349610232	300.21650991855034	1.028374727535486	17.2
3.0%	600	-176787.13785076328	300.64950621024343	1.0278345177808683	17
3.5%	700	-177341.42910873753	303.58418493245915	1.0278345177808683	17
4.0%	800	-177325.85884687013	302.53438327771767	1.0330472874663523	17.1
4.5%	900	-177798.06049244327	307.8781751443206	1.0330472874663523	17.1
5.0%	1000	-177479.13233660438	300.744568618885	1.0416568018477268	17.1
5.5%	1100	-177563.97726862095	303.26528919222955	1.0416568018477268	17
6.0%	1200	-177497.60553641006	302.03258596114586	1.0416568018477268	17.1
6.5%	1300	-177366.3367075507	301.6345523407559	1.0428186783547027	17
7.0%	1400	-177624.91768352687	298.6952867700849	1.0422930378591477	16.9
7.5%	1500	-178064.05644765525	300.3679416634326	1.0422930378591477	16.9
8.0%	1600	-177784.16069466327	299.75808645281796	1.0422930378591477	16.9
8.5%	1700	-177898.9625251238	301.63166329514064	1.0422930378591477	16.9
9.0%	1800	-177424.68564376564	295.73631507484725	1.0422930378591477	16.9
9.5%	1900	-177485.6582609329	299.05299054775327	1.0452253617065876	16.9
10.0%	2000	-178114.92986381295	302.9200498913056	1.0452253617065876	16.7
10.5%	2100	-177400.199865895	294.5416317574468	1.0473973983011649	16.7
11.0%	2200	-177965.04706333615	300.0176513048392	1.0455237676668951	16.7
11.5%	2300	-177773.39875647367	297.2066396623157	1.0452551569766395	16.8
12.0%	2400	-178209.4569979166	304.7640483393954	1.0465998703960562	16.8
12.5%	2500	-177505.46378690714	300.74363719596363	1.04619393149662	16.8
13.0%	2600	-177777.09748898493	299.4048185270553	1.04619393149662	16.8
13.5%	2700	-177717.93732574972	304.03494740013247	1.0472378366576565	16.8
14.0%	2800	-177865.0021613718	303.26069611534524	1.04646853675054	16.8
14.5%	2900	-177784.3963624309	304.8772483497376	1.050109367603018	16.7
15.0%	3000	-177426.27401944055	300.11123876481884	1.050109367603018	16.7
15.5%	3100	-178161.6194565039	303.3540978519947	1.050109367603018	16.7
16.0%	3200	-177524.024667425	297.9296430061202	1.055702519036654	16.7
16.5%	3300	-178232.22454461516	300.60981248100717	1.055702519036654	16.7
17.0%	3400	-178347.0597658976	302.5711886452189	1.0556324531744141	16.7
17.5%	3500	-178507.94354220867	303.7684506100631	1.0556324531744141	16.8
18.0%	3600	-178557.4788368897	301.7994183382038	1.0556324531744141	16.7
18.5%	3700	-178472.2404014434	298.0732707958662	1.0573382369941764	16.7
19.0%	3800	-179088.6210937231	301.2199454438216	1.0573382369941764	16.7
19.5%	3900	-178694.19330455206	294.9785052514832	1.061825202067729	16.7
20.0%	4000	-179083.56987233018	297.7520772071815	1.061825202067729	16.7
20.5%	4100	-178797.4241192804	293.53980070557367	1.062285282939965	16.7
21.0%	4200	-179607.94646873168	299.4463718565509	1.062285282939965	16.7
21.5%	4300	-179522.27835485822	293.3315276989431	1.062782240186415	16.7
22.0%	4400	-179246.47531633242	297.0680762220059	1.0591095164289277	16.7
22.5%	4500	-179213.47558121633	298.5915272445629	1.0591095164289277	16.7
23.0%	4600	-178897.01605239854	293.7239956351645	1.0583403054319416	16.7
23.5%	4700	-179283.38884516712	294.11939345958893	1.0547220736306484	16.7
24.0%	4800	-178989.09058774114	297.8457453539398	1.0548851841500984	16.7
24.5%	4900	-179130.07487666348	300.35261676815236	1.0556890744642846	16.7
25.0%	5000	-179407.3970276189	303.25236249861365	1.0580700971489223	16.7
25.5%	5100	-178930.2219261998	302.0688714434726	1.057941112775039	16.7
26.0%	5200	-178681.8675753553	296.08788506605754	1.0598218000745037	16.8
26.5%	5300	-179107.98049458352	305.46633264986275	1.0594907815743235	16.7
27.0%	5400	-178691.91829101133	299.73189057806326	1.0574842420885575	16.8
27.5%	5500	-178568.55660025336	300.4934653337084	1.0586114277774181	16.8
28.0%	5600	-178571.4103998368	300.81180573058145	1.0586114277774181	16.8
28.5%	5700	-178630.75597712083	305.4488604654565	1.0545465315155567	16.8
29.0%	5800	-178142.4105588409	300.87937609333005	1.0545465315155567	16.8
29.5%	5900	-178461.74659534774	299.7182948242007	1.054551482695108	16.8
30.0%	6000	-178178.92736526165	300.578769953893	1.054551482695108	16.8
30.5%	6100	-178405.49499552272	301.3406148392668	1.054551482695108	16.7
31.0%	6200	-178637.81748894497	300.37472162375326	1.054551482695108	16.7
31.5%	6300	-178288.50949451857	296.79024056670045	1.0574118517073865	16.7
32.0%	6400	-178155.59428304306	298.83888148615415	1.0557931767987387	16.7
32.5%	6500	-178212.1254770836	298.3959908875773	1.0552175878514116	16.7
33.0%	6600	-178529.09938790198	299.2078641069463	1.0530916660474476	16.7
33.5%	6700	-178198.9398699648	299.5523315063868	1.0520927310160166	16.8
34.0%	6800	-178063.68362429301	300.1170380934624	1.0533150435777114	16.8
34.5%	6900	-178198.05082090312	300.83865208689576	1.0533150435777114	16.8
35.0%	7000	-178035.2211246493	296.42879249563515	1.0533150435777114	16.8
35.5%	7100	-178249.71884669326	298.3769817957141	1.0533150435777114	16.8
36.0%	7200	-178104.8525747639	302.0459299372434	1.0501433563579614	16.8
36.5%	7300	-178263.1365039772	302.9057294001858	1.0501433563579614	16.8
37.0%	7400	-178308.19363879645	298.68341081230466	1.0487428658574154	16.8
37.5%	7500	-177897.80341787005	299.57016787257186	1.047782965169731	16.8
38.0%	7600	-178138.81140634915	298.55732879233085	1.047782965169731	16.8
38.5%	7700	-178286.52558170137	296.18642959937347	1.047782965169731	16.8
39.0%	7800	-178582.36328574008	303.31121952246144	1.052528282729747	16.8
39.5%	7900	-178725.53505286845	302.76763570996206	1.052528282729747	16.8
40.0%	8000	-178163.36914820812	301.3607692343094	1.052528282729747	16.8
40.5%	8100	-177898.79443716884	301.10458955675904	1.052528282729747	16.8
41.0%	8200	-178178.17126517356	305.3862060067143	1.0547876754009127	16.8
41.5%	8300	-177771.25979193373	299.3733802473135	1.054907358501411	16.8
42.0%	8400	-178105.11431959472	300.2156579365446	1.0577054758442725	16.8
42.5%	8500	-178218.46976135002	303.58365760761933	1.0582727534773666	16.8
43.0%	8600	-178845.15746454758	301.60537799593794	1.0593691131339773	16.8
43.5%	8700	-178692.07779821192	298.2028282898395	1.058635707517239	16.8
44.0%	8800	-178830.28700697003	296.62879699512547	1.0576070988791255	16.8
44.5%	8900	-178472.24788527284	294.6459554739319	1.0576070988791255	16.8
45.0%	9000	-178898.1804711263	300.50890720570527	1.0547686890856602	16.8
